Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
2020-01-22,Canada,Ontario,51.2538,-85.3232,0,,0
2020-01-23,Canada,Ontario,51.2538,-85.3232,0,,0
2020-01-24,Canada,Ontario,51.2538,-85.3232,0,,0
2020-01-25,Canada,Ontario,51.2538,-85.3232,0,,0
2020-01-26,Canada,Ontario,51.2538,-85.3232,1,,0
2020-01-27,Canada,Ontario,51.2538,-85.3232,1,,0
2020-01-28,Canada,Ontario,51.2538,-85.3232,1,,0
2020-01-29,Canada,Ontario,51.2538,-85.3232,1,,0
2020-01-30,Canada,Ontario,51.2538,-85.3232,1,,0
2020-01-31,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-01,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-02,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-03,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-04,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-05,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-06,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-07,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-08,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-09,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-10,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-11,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-12,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-13,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-14,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-15,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-16,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-17,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-18,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-19,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-20,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-21,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-22,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-23,Canada,Ontario,51.2538,-85.3232,3,,0
2020-02-24,Canada,Ontario,51.2538,-85.3232,4,,0
2020-02-25,Canada,Ontario,51.2538,-85.3232,4,,0
2020-02-26,Canada,Ontario,51.2538,-85.3232,4,,0
2020-02-27,Canada,Ontario,51.2538,-85.3232,6,,0
2020-02-28,Canada,Ontario,51.2538,-85.3232,6,,0
2020-02-29,Canada,Ontario,51.2538,-85.3232,11,,0
2020-03-01,Canada,Ontario,51.2538,-85.3232,15,,0
2020-03-02,Canada,Ontario,51.2538,-85.3232,18,,0
2020-03-03,Canada,Ontario,51.2538,-85.3232,20,,0
2020-03-04,Canada,Ontario,51.2538,-85.3232,20,,0
2020-03-05,Canada,Ontario,51.2538,-85.3232,22,,0
2020-03-06,Canada,Ontario,51.2538,-85.3232,25,,0
2020-03-07,Canada,Ontario,51.2538,-85.3232,28,,0
2020-03-08,Canada,Ontario,51.2538,-85.3232,29,,0
2020-03-09,Canada,Ontario,51.2538,-85.3232,34,,0
2020-03-10,Canada,Ontario,51.2538,-85.3232,36,,0
2020-03-11,Canada,Ontario,51.2538,-85.3232,41,,0
2020-03-12,Canada,Ontario,51.2538,-85.3232,42,,0
2020-03-13,Canada,Ontario,51.2538,-85.3232,74,,0
2020-03-14,Canada,Ontario,51.2538,-85.3232,79,,0
2020-03-15,Canada,Ontario,51.2538,-85.3232,104,,0
2020-03-16,Canada,Ontario,51.2538,-85.3232,177,,0
2020-03-17,Canada,Ontario,51.2538,-85.3232,185,,1
2020-03-18,Canada,Ontario,51.2538,-85.3232,221,,1
2020-03-19,Canada,Ontario,51.2538,-85.3232,257,,1
2020-03-20,Canada,Ontario,51.2538,-85.3232,308,,2
2020-03-21,Canada,Ontario,51.2538,-85.3232,377,,3
2020-03-22,Canada,Ontario,51.2538,-85.3232,425,,5
2020-03-23,Canada,Ontario,51.2538,-85.3232,503,,6
2020-03-24,Canada,Ontario,51.2538,-85.3232,588,,7
2020-03-25,Canada,Ontario,51.2538,-85.3232,688,,8
2020-03-26,Canada,Ontario,51.2538,-85.3232,858,,13
2020-03-27,Canada,Ontario,51.2538,-85.3232,994,,18
2020-03-28,Canada,Ontario,51.2538,-85.3232,1144,,18
2020-03-29,Canada,Ontario,51.2538,-85.3232,1355,,21
2020-03-30,Canada,Ontario,51.2538,-85.3232,1706,,31
2020-03-31,Canada,Ontario,51.2538,-85.3232,1966,,33
2020-04-01,Canada,Ontario,51.2538,-85.3232,2392,,37
2020-04-02,Canada,Ontario,51.2538,-85.3232,2793,,53
2020-04-03,Canada,Ontario,51.2538,-85.3232,3255,,67
2020-04-04,Canada,Ontario,51.2538,-85.3232,3630,,94
2020-04-05,Canada,Ontario,51.2538,-85.3232,4354,,119
2020-04-06,Canada,Ontario,51.2538,-85.3232,4347,,150
2020-04-07,Canada,Ontario,51.2538,-85.3232,4726,,153
2020-04-08,Canada,Ontario,51.2538,-85.3232,5276,,153
2020-04-09,Canada,Ontario,51.2538,-85.3232,5759,,200
2020-04-10,Canada,Ontario,51.2538,-85.3232,6237,,222
2020-04-11,Canada,Ontario,51.2538,-85.3232,6648,,253
2020-04-12,Canada,Ontario,51.2538,-85.3232,7049,,274
